,city,lon,lat,wind_speed,max_temp,humidity,date,country,cloud
84,New Norfolk,147.06,-42.78,17.22,75.2,31,1584493704,AU,75
85,Souillac,57.52,-20.52,5.35,75.54,89,1584494093,MU,19
86,Åmot,7.99,59.57,1.54,23.94,94,1584494093,NO,72
87,Yellowknife,-114.35,62.46,9.17,-0.99,70,1584494094,CA,75
88,Samarai,150.67,-10.62,6.55,82.51,75,1584494094,PG,32
89,Albany,-73.97,42.6,4.7,45.0,56,1584494094,US,75
90,Puerto Ayora,-90.35,-0.74,10.29,82.4,65,1584494094,EC,20
91,Cape Town,18.42,-33.93,8.05,66.0,88,1584493598,ZA,3
92,Nara,135.8,34.69,3.36,57.99,76,1584494095,JP,40
93,Hermanus,19.23,-34.42,2.51,63.0,93,1584494095,ZA,1
94,Provideniya,-173.3,64.38,15.66,30.2,86,1584494096,RU,40
95,Mahina,-149.49,-17.51,8.05,89.6,66,1584494096,PF,40
96,Iqaluit,-68.51,63.75,12.75,15.8,85,1584493265,CA,90
97,Launceston,147.17,-41.45,18.34,66.2,68,1584493400,AU,90
98,Saskylakh,114.08,71.92,10.58,-21.75,78,1584494096,RU,2
99,Brusyliv,29.53,50.28,2.24,28.4,100,1584494097,UA,0
100,Strezhevoy,77.59,60.73,6.71,24.8,92,1584494097,RU,90
101,Chennai,80.28,13.09,4.9,82.0,88,1584493851,IN,20
102,Byron Bay,153.62,-28.65,16.11,77.0,50,1584494097,AU,21
103,Mataura,168.86,-46.19,10.0,59.0,67,1584494098,NZ,5
104,Husavik,-17.34,66.04,28.86,32.0,95,1584493890,IS,90
105,Port Macquarie,152.92,-31.43,6.93,75.99,77,1584494098,AU,54
106,Mahébourg,57.7,-20.41,5.55,75.16,89,1584494098,MU,17
107,Qaqortoq,-46.03,60.72,9.17,10.4,39,1584493966,GL,29
108,Ubari,12.78,26.59,14.74,66.99,18,1584493538,LY,91
109,Seoul,126.98,37.57,5.82,50.0,61,1584493637,KR,0
110,Kaitangata,169.85,-46.28,3.11,49.1,71,1584494099,NZ,14
111,Durango,-104.83,24.83,21.63,69.78,29,1584494099,MX,95
112,Praia da Vitória,-27.07,38.73,13.53,62.6,77,1584493965,PT,20
113,Grand Forks,-97.03,47.93,6.93,28.4,79,1584493804,US,1
114,Bambous Virieux,57.76,-20.34,10.18,79.34,82,1584493774,MU,11
115,Makakilo City,-158.09,21.35,5.82,73.4,88,1584493991,US,75
116,Alice Springs,133.88,-23.7,13.87,87.8,25,1584494061,AU,0
117,Talnakh,88.4,69.49,29.08,12.2,85,1584493897,RU,75
118,Emerald,148.17,-23.53,11.41,79.0,53,1584494101,AU,0
119,Sarh,18.39,9.14,2.26,77.29,18,1584494102,TD,51
120,Bredasdorp,20.04,-34.53,8.05,66.2,77,1584494102,ZA,12
121,Dharmapuri,78.17,12.13,3.38,69.8,78,1584494103,IN,0
122,Sitka,-135.33,57.05,13.87,44.6,65,1584494103,US,20
123,Port Lincoln,135.87,-34.73,3.67,75.63,36,1584493953,AU,99
124,Constitución,-72.42,-35.33,8.7,55.96,88,1584493496,CL,0
125,Naze,129.48,28.37,4.7,64.4,68,1584494103,JP,75
126,Henties Bay,14.28,-22.12,5.55,62.01,95,1584494104,NA,11
127,Portland,-122.68,45.52,3.36,61.0,38,1584493819,US,75
128,Flin Flon,-101.86,54.77,6.46,3.45,87,1584494104,CA,98
129,Natal,-35.21,-5.79,4.7,82.4,83,1584493990,BR,20
130,Shingū,135.98,33.73,13.87,59.0,44,1584493512,JP,0
131,Egvekinot,-179.17,66.32,11.1,23.85,88,1584493506,RU,100
132,Kenai,-151.26,60.55,4.7,30.99,86,1584494105,US,90
133,Lahaina,-156.68,20.88,9.17,73.4,94,1584493811,US,90
134,Fortuna,-124.16,40.6,11.41,46.99,87,1584493898,US,90
135,Banda Aceh,95.32,5.56,4.27,73.83,84,1584494106,ID,82
136,Lovozero,35.01,68.0,3.67,18.93,85,1584494106,RU,93
137,Torbay,-52.73,47.67,24.16,28.99,79,1584494106,CA,90
138,Mapiripán,-72.13,2.89,4.36,81.34,54,1584494106,CO,39
139,Los Llanos de Aridane,-17.92,28.66,18.34,60.8,82,1584493899,ES,40
140,Puta,49.66,40.3,13.87,42.8,70,1584494107,AZ,90
141,Thompson,-97.86,55.74,12.75,5.0,42,1584494107,CA,5
142,Mayo,-76.51,38.89,3.36,59.0,66,1584494107,US,40
143,Sirte,16.59,31.21,7.67,57.15,75,1584493912,LY,100
144,Zambezi,23.1,-13.54,3.47,65.84,97,1584494108,ZM,100
145,Tuatapere,167.68,-46.13,10.0,59.0,67,1584494108,NZ,26
146,Mar del Plata,-57.56,-38.0,8.05,68.0,93,1584493907,AR,100
147,Te Anau,167.72,-45.42,4.03,55.49,56,1584493868,NZ,2
148,Luanda,13.23,-8.84,3.36,80.6,83,1584493279,AO,20
149,Manokwari,134.08,-0.87,4.47,78.85,66,1584494006,ID,68
150,Kailua,-157.74,21.4,16.44,73.4,73,1584493921,US,90
151,Båtsfjord,29.72,70.63,3.49,18.12,96,1584494110,NO,100
152,Qasigiannguit,-51.19,68.82,21.92,6.8,42,1584494111,GL,96
153,Isangel,169.27,-19.55,6.93,84.2,70,1584494111,VU,90
154,Cherskiy,161.3,68.75,13.87,2.52,93,1584494111,RU,100
155,Ribeira Grande,-28.7,38.52,10.07,58.55,88,1584493787,PT,10
156,East London,27.91,-33.02,8.59,69.46,83,1584493784,ZA,64
157,Provincia di Pescara,13.95,42.33,5.82,48.0,86,1584494112,IT,100
158,Berlevåg,29.09,70.86,10.22,28.89,88,1584494112,NO,100
159,Saint Anthony,-93.22,45.02,9.17,42.01,52,1584494112,US,75
160,Alta Floresta,-56.09,-9.88,0.6,74.53,94,1584493867,BR,100
161,Tasiilaq,-37.64,65.61,4.7,14.0,72,1584494113,GL,92
162,Katangli,143.23,51.71,7.94,26.28,84,1584493951,RU,46
163,Vicuña,-70.71,-30.03,4.7,60.8,82,1584494113,CL,0
164,Piaçabuçu,-36.43,-10.41,7.45,79.68,85,1584494113,BR,100
165,Faya,42.45,18.39,9.17,62.6,82,1584493973,SA,40
166,Chipinge,32.62,-20.19,2.82,62.74,92,1584493929,ZW,69
167,Yagodnoye,149.67,62.55,3.29,3.24,89,1584494114,RU,93
168,Sapa,120.32,5.15,3.51,81.16,73,1584494114,PH,47
169,Youkounkoun,-13.13,12.53,2.13,79.18,15,1584494115,GN,0
170,Castro,-50.01,-24.79,5.91,65.41,97,1584494115,BR,0
171,Rāwah,41.91,34.48,20.51,62.78,70,1584493918,IQ,100
172,Porto-Novo,2.6,6.5,9.06,83.25,82,1584493737,BJ,91
173,Leiva,-77.3,1.93,1.14,66.43,98,1584494116,CO,92
174,Koulikoro,-7.75,14.0,10.29,81.52,12,1584494116,ML,87
